input_lang,output_lang
How often did Jane Fonda marry?,Cât de des s-a măritat Jane Fonda?
Which books by Kerouac were published by Viking Press?,Ce cărți de Kerouac a fost publicate de Viking Press?
What is the official website of Tom Cruise?,Care este website-ul oficial al lui Tom Cruise?
Which U.S. state has the highest population density?,Ce stat American are cea mai mare densitate a populației?
Who created Wikipedia?,Cine a creat Wikipedia?
What is the founding year of the brewery that produces Pilsner Urquell?,Care este anul înființării berăriei ce produce Pilsner Urquell?
How many films did Hal Roach produce?,Câte filme a produs Hal Roach?
In which country does the Nile start?,Din ce țară izvorăște Nilul?
Give me all federal chancellors of Germany.,Dă-mi toți cancelarii federali ai Germaniei
Which states of Germany are governed by the Social Democratic Party?,Ce state germane sunt guvernate de Partidul Social Democrat?
Which river does the Brooklyn Bridge cross?,Ce râu traversează podul din Brooklyn?
How tall is Claudia Schiffer?,Ce înălțime are Claudia Schiffer?
Which television shows were created by Walt Disney?,Ce seriale de televiziune au fost create de Walt Disney?
Give me the websites of companies with more than 500000 employees.,Dă-mi toate website-urile de la companiile cu mai mult de 500000 de angajați
Give me all cities in New Jersey with more than 100000 inhabitants.,Dă-mi toate orașele din New Jersey cu mai mult de 100000 de locuitori.
Which actors were born in Germany?,Ce actori au fost născuți în Germania?
Which countries have more than two official languages?,Ce țări au mai mult de două limbi oficiale?
In which U.S. state is Mount McKinley located?,În ce stat american se află muntele McKinley?
When was the Statue of Liberty built?,Când a fost construită Statuia Libertății?
Give me all people that were born in Vienna and died in Berlin.,Dă-mi toți oamenii care s-au născut în Viena și au murit în Berlin.
Give me all movies with Tom Cruise.,Dă-mi toate filmele cu Tom Cruise.
How tall is Michael Jordan?,Ce înățime are Michael Jordan?
What is the total amount of men and women serving in the FDNY?,Care este numărul total de bărbați și femei membri ai Departamentului de Pompieri din New York?
Give me all breeds of the German Shepherd dog.,Dă-mi toate rasele câinelui Ciobănesc German.
How often was Michael Jordan divorced?,De câte ori a divorțat Michael Jordan?
What is the official language of Suriname?,Care este limba oficială din Suriname?
Who composed the music for Harold and Maude?,Cine a compus coloana sonoră pentru Harold și Maude?
In which city was the former Dutch queen Juliana buried?,"În ce oraș a fost înmormântată fosta regină a Olandei, Juliana?"
Who wrote the book The Pillars of the Earth?,Cine e scris cartea Stâlpii Pământului?
What are the nicknames of San Francisco?,Care sunt poreclele pentru San Francisco?
Which companies work in the aerospace industry as well as in medicine?,"Ce companii lucrează în industria aerospațială, precum și în medicină?"
Which languages are spoken in Estonia?,Ce limbi sunt vorbite în Estonia?
Are tree frogs a type of amphibian?,Sunt broaștele de copac un tip de amfibieni?
What were the main discoveries of the Mars rover Curiosity?,Care au fost descoperirile principale ale Mars rover Curiosity?
When did Latvia join the EU?,Când a aderat Letonia la Uniunea Europeană?
Where is the residence of the prime minister of Spain?,Unde este reședința primului ministru al Spaniei?
Which countries have more than ten caves?,Ce țări au mai mult de zece peșteri?
Give me all animal species that live in the Teutoburg Forest.,Dă-mi toate speciile de animale care trăiesc în pădurea Teutoburg
Who created Goofy?,Cine l-a creat pe Goofy?
Give me all sister cities of Brno.,Dă-mi toate orașele înfrățite cu Brno.
Give me all soccer clubs in Spain.,Dă-mi toate cluburile de fotbal din Spania
Which other weapons did the designer of the Uzi develop?,Ce alte arme a realizat proiectantul Uzi?
Which caves have more than 3 entrances?,Ce peșteri au mai mult de 3 intrări?
Which countries adopted the Euro?,În ce țări a fost introdus euro?
Which country does the creator of Miffy come from?,Din ce țara provine creatorul Miffy?
Give me all female given names.,Dă-mi toate prenumele feminine.
Was Margaret Thatcher a chemist?,A fost Margaret Thatcher un chimist?
Which German cities have more than 250000 inhabitants?,Ce orașe germane au mai mult de 250000 de locuitori?
Was Marc Chagall a jew?,A fost Marc Chagall un evreu?
Which presidents were born in 1945?,Ce președinți au fost născuți în 1945
How many Aldi stores are there?,Câte magazine Aldi există?
Was U.S. president Jackson involved in a war?,A fost președintele american Jackson implicat într-un război?
What is the capital of Canada?,Care este capitala Canadei?
What is the average temperature on Hawaii?,Care este temperatura medie în Hawaii?
In which U.S. state is Fort Knox located?,În ce stat american este situat Fort Knox?
