input_lang,output_lang
Which river does the Brooklyn Bridge cross?,¿Por qué río cruza la Brooklyn Bridge?
Give me the websites of companies with more than 500000 employees.,Dame todas las páginas de Web de empresas con más de 500000 empleados.
What is the official website of Tom Cruise?,¿Cuál el la página de Web oficial de Tom Cruise?
Give me all movies with Tom Cruise.,Dame todas las películas con Tom Cruise
Who created Wikipedia?,¿Quién creó Wikipedia?
How many films did Hal Roach produce?,¿Cuántas películas ha producido Hal Roach?
In which country does the Nile start?,¿En qué país nace el Nilo?
Which states of Germany are governed by the Social Democratic Party?,¿En qué estados federales de Alemania gobierna la SPD?
How tall is Claudia Schiffer?,¿Cómo de alta es Claudia Schiffer?
Which television shows were created by Walt Disney?,¿Qué series televisivas ideó Walt Disney?
What is the highest place of Karakoram?,¿Cuál es el punto más alto del Karakorum?
Give me all cities in New Jersey with more than 100000 inhabitants.,Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.
Which actors were born in Germany?,¿Qué actores nacieron en Alemania?
Give me all people with first name Jimmy.,Dame todas las personas con el nombre propio Jimmy.
Which mountain is the highest after the Annapurna?,¿Cuál es la montaña más alta después del Annapurna?
How often was Michael Jordan divorced?,¿Cuántas veces se ha divorciado Michael Jordan?
Who designed the Brooklyn Bridge?,¿Quién diseñó la Brooklyn Bridge?
Which classis do tree frogs belong to?,¿A qué especie pertenece la rana verde?
Was Natalie Portman born in the United States?,¿Nació Natalie Portman en los estados unidos de américa?
Which countries have more than two official languages?,¿Qué países tienes más de dos lenguas oficiales?
When did Latvia join the EU?,¿Cuándo ingresó Letonia a la unión europea?
Who created Goofy?,¿Quién es el creador de Goofy?
Give me all soccer clubs in Spain.,Dame todos los club de fútbol de España.
Who is the mayor of New York City?,¿Quién es el alcalde de la cuidad de Nueva York?
Which organizations were founded in 1950?,¿Qué empresas fueron fundadas en 1950?
Which presidents were born in 1945?,¿Qué presidentes nacieron en 1945?
Through which countries does the Yenisei river flow?,¿Por qué países fluye el río Yenisei?
Which museum exhibits The Scream by Munch?,¿En qué museo está expuesto el Grito de Munch?
Which budget did the first movie of Zdenek Sverak have?,¿Cuál fué el presupuesto de la primera película de Zdenek Sverak?
Give me the capitals of all countries in Africa.,Dame las capitales de todos los países africanos.
Which states border Illinois?,¿Qué estados tienen frontera con Illinois?
Which countries have places with more than two caves?,¿Qué países tienen lugares con más de dos cuevas?
Which European countries have a constitutional monarchy?,¿Qué países europeos tienen una monarquía constitucional?
What is the highest mountain in Australia?,¿Cuál es la montaña más alta de Australia?
Which capitals in Europe were host cities of the summer olympic games?,¿En qué capitales europeas tuvieron lugar los juegos olímpicos de verano?
