input_lang,output_lang
which river does the entity cross?,¿por qué río cruza la brooklyn bridge?
give me the websites of companies with more than 500000 employees.,dame todas las páginas de web de empresas con más de 500000 empleados.
what is the official website of entity?,¿cuál el la página de web oficial de entidad?
give me all movies with entity.,dame todas las películas con entidad
who created entity?,¿quién creó entidad?
how many films did entity produce?,¿cuántas películas ha producido entidad?
in which country does the entity start?,¿en qué país nace el entidad?
how tall is entity?,¿cómo de alta es entidad?
which television shows were created by entity?,¿qué series televisivas ideó entidad?
give me all cities in entity with more than 100000 inhabitants.,dame todas las cuidades en new jersey que tengan más de 100000 habitantes.
which actors were born in entity?,¿qué actores nacieron en entidad?
how often was entity divorced?,¿cuántas veces se ha divorciado entidad?
who designed the entity?,¿quién diseñó la brooklyn bridge?
which countries have more than two official languages?,¿qué países tienes más de dos lenguas oficiales?
when did entity join the entity?,¿cuándo ingresó entidad a la entidad?
who created entity?,¿quién es el creador de entidad?
give me all entity clubs in entity.,dame todos los club de entidad de entidad.
who is the entity of entity?,¿quién es el entidad de la cuidad de entidad?
which organizations were founded in 1950?,¿qué empresas fueron fundadas en 1950?
which presidents were born in 1945?,¿qué presidentes nacieron en 1945?
through which countries does the entity flow?,¿por qué países fluye el río yenisei?
which states border entity?,¿qué estados tienen frontera con entidad?
which countries have places with more than two caves?,¿qué países tienen lugares con más de dos cuevas?
which european countries have a entity?,¿qué países europeos tienen una entidad?
who was the wife of u.s. president entity?,¿quién fué la mujer del presidente americano lincoln?
is entity starring in entity?,¿actúa entidad en entidad?
give me all video games published by entity.,dame todos los videojuegos de mean hamster software.
who produced films starring entity?,¿quién ha producido películas en las que actua entidad?
in which films did entity as well as entity play?,¿en qué películas actúan entidad y entidad?
how many films did entity star in?,¿en cuántas películas ha actuado entidad?
give me all school types.,dame todos los tipos de escuela.
give me the birthdays of all actors of the television show entity.,dame los cumpleaños de los actores de la serie de televisión entidad.
how many monarchical countries are there in entity?,¿cuántas monarquías existen en entidad?
who produced the most films?,¿quién ha producido más películas?
which languages are spoken in entity?,¿qué idiomas se hablan en entidad?
which mountains are higher than the entity?,¿qué montañas son más altas que el entidad?
is the wife of president entity called entity?,¿la mujer del presidente obama se llama michelle?
give me all books written by entity.,dame todos los libros escritos por entidad.
in which films directed by entity was entity starring?,¿en qué películas dirigidas por garry mashall actuó entidad?
who owns entity?,¿a quién pertenece entidad?
how many employees does entity have?,¿cuántos empleados tiene entidad?
is entity still alive?,¿todavía vive entidad?
give me the homepage of entity.,dame la página de web de entidad.
is entity a entity?,¿la entidada es una entidada?
which awards did entity win?,¿qué premios ha ganado entidad?
list all episodes of the first season of the entity television series entity!,dame todos los episodios de la prímera época de la serie de entidad los sporanos.
which country has the most official languages?,¿qué país tiene más idiomas oficiales?
what is the most beautiful painting?,¿cuál es la pintur más bonita?
who is the daughter of entity married to?,¿con quién está casada la hija de entidad?
which caves have more than 3 entrances?,¿qué cuevas tienen más de 3 entradas?
give me all films produced by entity.,dame todas las películas del producente entidad.
which bridges are of the same type as the entity?,¿qué puentes son del mismo tipo que el entidad?
which software has been developed by organizations founded in entity?,¿qué productos de software han sido desarrollados por empresas fundadas en entidad?
give me all actors starring in entity.,dame todos los actores que hayan actuado en entidad.
give me all companies in the advertising industry.,dame todas las empresas publicitarias.
when was entity founded?,¿cúando se fundó entidad?
who is the owner of entity?,¿a quién le pertenecen los entidad?
what did entity die from?,¿de qué murió bruce carver?
how often did entity marry?,¿cuántas veces ha estado casada entidad?
what is the founding year of the entity that produces entity?,¿en qué año fue fundada la entidad que produce entidad?
give me all people that were born in entity and died in entity.,dame todas las personas que hayan nacido en entidad y hayan muerto en berlin.
how tall is entity?,¿qué altura tiene entidad?
what are the nicknames of entity?,¿cuál es el apodo de san francisco?
what were the main discoveries of the entity entity entity?,¿cuáles fueron los principales descubrimientos de mars entidad curiosity?
where is the residence of the prime minister of entity?,¿dónde vive el primer ministor de entidad?
which countries have more than ten caves?,¿qué países tienen más de diez cuevas?
give me all sister cities of entity.,dame las ciudades hermanadas con entidad.
which other weapons did the designer of the entity develop?,¿qué otras armas desarrolló el inventor del entidad?
give me all female given names.,dame todos los nombres propios femeninos.
how many entity stores are there?,¿cuántas tiendas entidad hay?
what is the capital of entity?,¿cuál es la capital de entidad?
what is the average temperature on entity?,¿cuál es la temperature media en hawaii?
who invented the entity?,¿quién inventó la cremallera?
give me all islands that belong to entity.,dame todas la islas que pertenezcan a entidad.
who was the first president of the entity?,¿quién era el primer presidente de los entidad?
who developed entity?,¿quién desarrolló entidad?
how many space missions have there been?,¿cuántas misiones espaciales ha habido?
give me all cars that are produced in entity.,dame todos los coches producidos en entidad.
how many children did entity have?,¿cuántos hijos tuvo entidad?
is entity the wife of entity?,¿es michele obama la esposa de entidad?
give me all actors starring in movies directed by entity.,dame todos los actores de películas dirigidas por entidad.
list the children of entity.,dame una lista de los hijos de entidad.
which professional surfers were born in entity?,¿qué surfistas profesionales nacieron en entidad?
who is the editor of entity?,¿quién es el editor de entidad?
who is the youngest player in the entity?,¿quién es el jugador más jóven de la entidad?
give me all books by entity with more than 300 pages.,dame todos los libros de wiliam goldman con más de 300 páginas.
give me all launch pads operated by entity.,dame todas las plataformas de lanzamiento operadas por la entidad.
who created the comic entity?,¿quién creó el comic entidad?
list all episodes of the first season of the entity television series entity.,dame todos los episodios de la prímera época de la serie de entidad los sporanos.
which films starring entity did he direct himself?,¿en qué películas con entidad están dirigidas por él mismo?
who are the parents of the wife of entity?,¿quién son los padres de la esposa de juan carlos i?
what is the birth name of entity?,¿cuál es el nombre de soltera de entidad?
what is the longest river?,¿cuál es el río más largo?
did entity influence entity?,¿tuvo entidad influencia sobre entidad?
who was called entity?,¿quién era llamado scarface?
is entity starring in entity?,¿actúa entidad en entidad?
list all games by entity.,dame todos los juegos de gmt.
which organizations were founded in 1930?,¿qué empresas fueron fundadas en 1930?
when was entity admitted as province?,¿cúando fué fundada la provincia de entidad?
which countries are connected by the entity?,¿qué países une el rhin?
give me all cosmonauts.,dame todas las cosmonautas.
which ships were called after entity?,¿qué barcos fueron bautizados en honor a entidad?
who is the husband of entity?,¿quién es el marido de entidad?
how many employees does entity have?,¿cuántos empleados tiene entidad?
give me a list of all bandleaders that play entity.,dame una lista de todos los líderes de un grupo que tocan la entidad.
when did entity die?,¿cuándo murió entidad?
how many languages are spoken in entity?,¿cuántos idiomas se hablan en entidad?
how many inhabitants does entity have?,¿cuántos habitantes tiene maribor?
give me a list of all lakes in entity.,dame una lista de todos los lagos en entidad.
how high is the entity?,¿qué alto es el entidad?
which instruments does entity play?,¿qué instrumentos tocaba entidad?
who is the governor of entity?,¿quién es el gobernador de entidad?
when were the entity founded?,¿cúando se fundaron los entidad?
how many countries are there in entity?,¿cuántos países existen en entidad?
how many people live in the capital of entity?,¿cuánta gente vive en la capital de entidad?
who founded entity?,¿quién fundó intel?
give me all entity astronauts.,dame todos los astronautas de entidad?
which cities does the entity flow through?,¿por qué ciudades pasa el río entidad?
give me all movies directed by entity.,dame todas las películas que haya dirigido entidad.
what is the ruling party in entity?,¿qué partido gobierna en entidad?
who produces entity?,¿quién produce entidad?
give me all companies in entity.,dame todas las empresas de munich?
what is the entity of entity?,¿cúal es el entidad del entidad?
who is the entity race driver with the most races?,¿quién es el conductor de formula 1 con más carreras?
what is the highest place of the entity?,¿cuál es el punto más alto del entidad?
show me all songs from entity released between 1980 and 1990.,¿enseñame todas las canciones de entidad que aparecieron entre 1980 y 1990.
give me all professional skateboarders from entity.,dame todos las skateboarders profesionales de entidad.
is entity the wife of entity?,¿es entidad la esposa de entidad?
which television shows were created by entity?,¿qué series televisivas ideó entidad?
which awards did entity win?,¿qué premios ha ganado entidad?
who is the daughter of entity married to?,¿con quién está casada la hija de robert kennedy?
who is the owner of entity?,¿quién es el dueño de rolls-royce?
was the wife of president entity called entity?,¿la mujer del presidente lincoln se llama mary?
who was the 16th president of the entity?,¿quién fue el 16th presidente de los entidad?
is entity a entity?,¿es entidad entidada?
in which studio did the beatles record their first album?,¿en qué estudio grabaron los beatles su primer album?
who was the first to climb entity?,¿quién fue el primero en ascender al entidad?
how deep is entity?,cómo de hondo es el lago placid?
give me the grandchildren of entity.,dame todos los nietos de entidad.
what is the most frequent cause of death?,¿cual es la causa mortal más común?
does the entity flow into a lake?,¿desemboca el isar en un lago?
give me all films produced by entity with a budget of at least $80 million.,dame todas las películas producidas por entidad con un presupuesto de al menos 80 milliones de dólares.
give me all entity.,dame todas las taikonautas.
give me all actors called entity.,dame todos los actores llamados baldwin.
who is the tallest player of the entity?,¿quién es el jugador más alto de los entidad?
how many entity movies are there?,¿cuántas películas de james bond existen?
which rockets were launched from entity?,¿qué cohetes han sido lanzados desde baionur?
when is entity?,¿cuándo es entidad?
give me all actors who were born in entity.,dame todos los actores nacidos en berlin.
how many languages are spoken in entity?,¿cuántos idiomas se hablan en entidad?
what was entity's lowest rank in the entity world ranking?,¿cuál ha sido la posición de ranking más baja de entidad en el ranking mundial de la entidad?
give me the capitals of all countries that the entity run through.,dame las capitales de todos los países que atraviesa el entidad.
which actor played entity?,¿qué actor hizo el papel de entidad?
who has entity been married to?,¿quién ha estado casado con entidad?
which of entity's films had the highest budget?,¿cuál es la película de entidad con el mayor presupuesto?
how heavy is entity's lightest moon?,¿cuánto pesa el satélite más ligero de júpiter?
which actor was casted in the most movies?,¿qué actor ha actuado en el mayor número de películas?
is entity married?,¿está james bond casado?
give me all actors who were born in entity after 1950.,dame todos los actores nacidos en paris después de 1950.
when was entity shot?,¿cuándo fue disparado carlo giuliani?
who are the four youngest entity entity players?,¿cuáles son los cuatro jugadores de entidad de categoría mvp más jóvenes?
which companies have more than 1 million employees?,¿qué empresas tienen mas de 1 millón de empleados?
give all swimmers that were born in entity.,dame todos los nadadores nacidos en entidad
show me the book that entity wrote.,muéstrame el libro escrito por entidad.
how many museums does entity have?,¿cuantos museos hay en paris?
who wrote the entity?,¿quien escribió los juegos del hambre?
show a list of entity clubs that play in the entity.,dame una lista de los clubs de futbol que juegan en bundesliga.
what country is entity in?,¿en que país esta el entidad?
who is the founder of entity?,¿quien es el fundador de entidad?
which programming languages influenced entity?,¿que lenguajes de programación influenciaron el entidad?
did entity have children?,¿tuvo hijos el che guevara?
list all the musicals with music by entity.,dame todos los musicales con música de entidad.
show me all the entity in entity.,muéstrame todas las entidads en entidad.
how much did entity cost?,¿cuanto costo entidad?
how many airlines are there?,¿cuantas líneas aéreas existen?
when did entity's creator die?,¿cuando murió el creador de entidad?
what airlines are part of the entity alliance?,¿qué aerolíneas forman parte del la alianza entidad?
what is the total population of entity?,"¿cuál es la población total de melbourne, florida?"
which airports does entity serve?,¿qué aeropuertos sirve entidad?
in which year was entity born?,¿en que año nació entidad?
where was entity assassinated?,¿dónde fue jfk asesinado?
how many politicians graduated from entity?,¿cuántos políticos se han graduado en la entidad?
which scientist is known for the entity and the entity?,¿qué científicos son conocidos por el entidad y el entidad?
what is the highest entity in entity?,¿cuál es el entidad mas alto en entidad?
what are the specialities of the entity?,¿cuáles son las especialidades del unc health care?
who is the owner of entity?,¿quién es el dueño de entidad?
from which region is the entity?,¿de que región es el vino melon de bourgogne?
who was influenced by entity?,¿quién fue influenciado por socrates?
who was president of entity in 1978?,¿quién fue el presidente de entidad en 1978?
give me entity actors starring in entity.,dame actores ingleses protagonizando lovesick.
what is the largest entity in entity state?,¿cuál es el entidad mas larga en el estado de washington?
where in entity is entity produced?,¿dónde en entidad se produce el entidad?
where did entity die?,¿dónde murió entidad?
what is the timezone in entity?,¿cuál es la zona horaria en entidad?
how tall is entity?,¿cómo de alta es entidad?
where is entity located?,¿donde se encuentra el entidad?
who created entity?,¿quién creó entidad?
give me the grandchildren of entity.,dame todos los nietos de entidad.
when was entity shot?,¿cuándo fue disparado entidad?
list all the musicals with music by entity.,dame todos los musicales con música de entidad.
which airports does entity serve?,¿qué aeropuertos sirve entidad?
give me all entity astronauts.,dame todos los astronautas de la esa.
give me all entity holidays.,dame todos los días festivos en entidad.
who is the youngest entity winner?,¿quien es el premio pilitzer mas joven?
which entity players were born on entity?,¿que jugadores de futbol han nacido en entidad?
did entity attend a university?,¿fue entidad a la universidad?
which programming languages were influenced by entity?,¿qué lenguajes de programación fueron influenciados por el entidad?
how many children does entity have?,¿cuántos hijos tiene entidad?
who is the oldest child of entity?,¿cuál es el hijo mas mayor de entidad?
who killed entity?,¿quién asesino a entidad?
which artists were born on the same date as entity?,¿qué artistas nacieron en la misma fecha que entidad?
how many scientists graduated from an entity university?,¿cuántos científicos se han graduado en un universidad de la entidad?
which types of grapes grow in entity?,¿que tipo de uva crece en oregon?
who is the manager of entity?,¿quien es el manager de real madrid?
which movies starring entity were directed by entity?,¿que peliculas protagonizadas por entidad han sido dirigidas por entidad?
is entity entity’s father?,¿es entidad el padre de luke?
how many companies were founded by the founder of entity?,¿cuantas compañías han sido fundadas por el fundador de entidad?
how many companies were founded in the same year as entity?,¿cuántas compañías fueron fundadas en el mismo año que entidad?
which subsidiary of entity serves both entity and entity?,¿qué subsidiario de tui travel vuela en entidad y en dublin?
how many airlines are members of the entity?,¿cuántas compañías son miembros del la entidad?
give me all spacecrafts that flew to entity.,dame todas las naves espaciales que han volado a marte
which musician wrote the most books?,¿qué músico ha escrito el mayor numero de libros?
show me everyone who was born on entity.,muestrame todas las personas nacidas en entidad
give me all entity non-profit organizations.,dame todas las organizaciones entidads sin animo de lucro
in which country is entity located?,¿en que país se sitúa entidad?
what does the abbreviation entity stand for?,¿qué significa la abreviación entidad?
where did the architect of the entity study?,¿dónde estudio el arquitecto de la entidad?
what is the height difference between entity and entity?,¿cuál es la diferencia de altura entra el entidad y entidad?
how many ethnic groups live in entity?,¿cuántos grupos étnicos viven en entidad?
list the seven kings of entity.,lista los siete reyes de entidad.
who is the heaviest player of the entity?,¿quien es el jugador mas pesado del los entidad?
which volcanos in entity erupted since 2000?,¿que volcanos han erupcionado en japon desde el 2000?
who is the tallest entity player?,quien es el jugador de entidad mas alto?
when did entity commence?,¿cuándo comenzó la operación overlord?
how many seats does the home stadium of entity have?,¿cuántos asientos tiene el estadio del fc porto?
what is the largest country in the world?,¿cuál es el país más grande del mundo?
who is the coach of entity's entity team?,¿quién es el entrenador del equipo de entidad de entidad?
where does entity start?,¿dónde empieza entidad?
how many people live in entity?,¿cuántas personas viven en entidad?
who created entity?,¿quién creó family guy?
who wrote the song entity?,¿quién escribió la canción hotel california?
does entity play for entity?,¿juega entidad en el real madrid?
in which ancient empire could you pay with entity beans?,en que imperio antiguo pagaría con granos de cacao?
which electronics companies were founded in entity?,¿qué compañías de electrónica fueron fundadas en entidad?
what is the capital of entity?,¿cuál es la capital de entidad?
what is entity's real name?,¿cuál es el verdadero nombre de entidad?
what form of government does entity have?,¿qué forma de gobierno tiene entidad?
what color expresses loyalty?,¿qué color expresa lealtad?
who is the president of entity?,¿quién es el presidente de entidad?
which films did entity direct?,¿qué películas dirigio entidad?
who are the developers of entity?,¿quiénes son los desarrolladores de entidad?
who is the king of the entity?,¿quién es el rey de los entidad?
which companies produce hovercrafts?,¿qué compañías producen aerodeslizadores?
did entity have children?,tuvo hijos entidad?
which country was entity born in?,¿en qué país nació entidad?
what country is entity from?,¿de qué país es entidad?
whom did entity marry?,¿con quien se casó entidad?
who was entity inspired by?,¿quién inspiro a entidad?
when did entity end his active career?,¿cuándo termino entidad su carrera como actor?
who was the doctoral supervisor of entity?,¿quien es el supervisor de doctorado de entidad?
show me entity's autobiography.,muéstrame la autobiografía hemingway.
where is entity buried?,¿dónde está enterrado entidad?
what is the biggest stadium in entity?,¿cuál es el estadio más grande de entidad?
which professional surfers were born on the entity?,¿qué surfistas profesionales nacieron en las entidad?
what are the five boroughs of entity?,¿cuáles son los cinco condados de nueva york?
who developed entity?,quien desarrollado entidad? 
which people were born in entity?,cual gente fueron nacido en heraklion?
give me all actors starring in movies directed by and starring entity.,dame todos los actores de películas dirigidas por entidad en las qué también haya actúado el mismo.
which movies starring entity were directed by entity?,¿que peliculas protagonizadas por entidad han sido dirigidas por entidad?
give me the entity astronauts.,dame todos los astronautas de entidad?
show me all museums in entity.,muéstrame todos los museos en entidad
show me all entity players that are higher than 2 meters.,muéstrame todos los jugadores de entidad que tienes mas de 2 metros de altura
